Artist,Country,PtsPoints,R/O,RankRanking,broadcaster,composers,contest_id,final_type,id,song,url,writers
Netta,Israel,529,22,1,KAN,Doron Medalie & Stav Beger,c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,42afa544-ac2b-371e-83c0-96072baf3cbb,TOY,/participant/netta-barzilai,Doron Medalie & Stav Beger
Waylon,The Netherlands,121,23,18,AVROTROS,"Waylon, Ilya Toshinskiy, Jim Beaver",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,71c5c68a-ad0e-3da9-88ad-3d2268952a6a,Outlaw In 'Em,/participant/waylon,"Waylon, Ilya Toshinskiy, Jim Beaver"
Ryan O'Shaughnessy,Ireland,136,24,16,RTÉ,"Ryan O'Shaughnessy, Mark Caplice, Laura Elizabeth Hughes",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,96230513-3d3b-3a53-9c1a-3c4beb5a754d,Together,/participant/ryan-o-shaughnessy,"Ryan O'Shaughnessy, Mark Caplice, Laura Elizabeth Hughes"
Eleni Foureira,Cyprus,436,25,2,CyBC,"Alex Papaconstantinou, Geraldo Sandell, Anderz Wrethov, Viktor Svensson, Didrick",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,339a7eb2-eb3d-398c-9af5-eef3793f7232,Fuego,/participant/eleni-foureira,"Alex Papaconstantinou, Geraldo Sandell, Anderz Wrethov, Viktor Svensson, Didrick"
Ermal Meta e Fabrizio Moro,Italy,308,26,5,RAI,"Ermal Meta, Fabrizio Moro, Andrea Febo",c7aae442-7c52-3a14-9bf5-2fb1880fbf58,grand final,76300454-e476-3d09-9be4-013f3ee048a7,Non Mi Avete Fatto Niente,/participant/ermal-meta-fabrizio-moro,"Ermal Meta, Fabrizio Moro, Andrea Febo"
IMRI,Israel,39,01,23,IBA,"Dolev Ram, Penn Hazut",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,a8bb65d2-451a-3e8c-94f9-839df32665b4,I Feel Alive,/participant/imri,"Dolev Ram, Penn Hazut"
Kasia Moś,Poland,64,02,22,TVP,"Kasia Moś, Rickard Bonde Truumeel, Pete Barringer (DWB)",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,1b5daf1f-6ee2-3c53-b963-27fbcda3d182,Flashlight,/participant/kasia-mos,"Kasia Moś, Rickard Bonde Truumeel, Pete Barringer (DWB)"
Naviband,Belarus,83,03,17,BTRC,Artem Lukyanenka,42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,777872dc-b63a-3aed-a4b7-a28c2d102896,Story of My Life,/participant/naviband,Artem Lukyanenka
Nathan Trent,Austria,93,04,16,ORF,"Nathan Trent, Bernhard Penzias",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,e168e2d7-2ec8-3e9b-9800-038ad84f39e9,Running On Air,/participant/nathan-trent,"Nathan Trent, Bernhard Penzias"
Artsvik,Armenia,79,05,18,AMPTV,"Lilith Navasaryan, Levon Navasardyan",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,3d680ebc-d5f0-3bf1-a9ac-5777ee93dd56,Fly With Me,/participant/artsvik,"Avet Barseghyan, David Tserunyan"
OG3NE,The Netherlands,150,06,11,AVROTROS,"Rick Vol, Rory de Kievit",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,c4a1b88e-872f-3a85-ba8e-14237b0d0bbf,Lights and Shadows,/participant/og3ne,Rick Vol
Sunstroke Project,Moldova,374,07,3,TRM,"Anton Ragoza, Serghei Ialovitki, Seghei Stepanov, Mihail Cebotarenco",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,8da26cdb-9704-3e4a-824a-ba572711aeb4,Hey Mamma,/participant/sunstroke-project,Alina Galetcaia
Joci Pápai,Hungary,200,08,8,MTV,József Pápai,42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,b32d90f4-9131-32f8-9650-6a0a2562cd74,Origo,/participant/joci-papai,József Pápai
Francesco Gabbani,Italy,334,09,6,RAI,"Francesco Gabbani, Filippo Gabbani, Luca Chiaravalli",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,7c07716c-b19f-3c27-858e-0b343b5a5313,Occidentali's Karma,/participant/francesco-gabbani,"Francesco Gabbani, Fabio Ilacqua, Luca Chiaravalli"
Anja,Denmark,77,10,20,DR,"Anja Nissen, Michael D'Arcy, Angel Tupai",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,e173a91c-9bc0-39f7-bac9-97ea95c2f01e,Where I Am,/participant/anja,"Anja Nissen, Michael D'Arcy, Angel Tupai"
Salvador Sobral,Portugal,758,11,1,RTP,Luísa Sobral,42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,af267e04-33cc-3d74-b8cf-758e47935865,Amar Pelos Dois,/participant/salvador-sobral,Luísa Sobral
Dihaj,Azerbaijan,120,12,14,İctimai,Isa Melikov,42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,b7f42378-a166-32a6-9e68-27fac16fec5b,Skeletons,/participant/dihaj,Sandra Bjurman
Jacques Houdek,Croatia,128,13,13,HRT,"Jacques Houdek, Siniša Reljić, Tony Malm",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,ed50af42-4416-3e47-8c4d-2180d13ba8e0,My Friend,/participant/jacques-houdek,"Jacques Houdek, Ines Prajo, Arjana Kunštek, Fabrizio Laucella"
Isaiah,Australia,173,14,9,SBS,"DNA (David Musumeci & Anthony Egizii), Michael Angelo",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,c82783cd-7a83-334d-83b3-3c7f73fffd54,Don't Come Easy,/participant/isaiah,"DNA (David Musumeci & Anthony Egizii), Michael Angelo"
Demy,Greece,77,15,19,ERT,Dimitris Kontopoulos,42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,5d20b9d0-b70b-38ee-9f9a-20b64136974e,This is Love,/participant/demy,"Romy Papadea, John Ballard"
Manel Navarro,Spain,5,16,26,TVE,"Manel Navarro, Antonio Rayo “Rayito”",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,b3155337-e8fc-35ae-aad7-cb3a1903a040,Do It For Your Lover,/participant/manel-navarro,"Manel Navarro, Antonio Rayo “Rayito”"
JOWST,Norway,158,17,10,NRK,Joakim With Steen,42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,c05469d1-23b8-304f-90f5-ae021116ea59,Grab The Moment,/participant/jowst,Jonas McDonnell
Lucie Jones,United Kingdom,111,18,15,BBC,"Emmelie de Forest, Daniel Salcedo, Lawrie Martin",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,3108890b-dfa0-3ecd-8335-4b72453da438,Never Give Up On You,/participant/lucie-jones,"Emmelie de Forest, Daniel Salcedo, Lawrie Martin"
Hovig,Cyprus,68,19,21,CyBC,Thomas G:son,42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,f21ccbf9-7b11-309c-b761-6b2d62d71500,Gravity,/participant/hovig,Thomas G:son
Ilinca ft. Alex Florea,Romania,282,20,7,TVR,Mihai Alexandru,42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,a1356b35-0598-3de1-aa35-2e8766a99513,Yodel It!,/participant/ilinca-ft-alex-florea,Alexa Niculae
Levina,Germany,6,21,25,NDR,"Lindy Robbins, Dave Bassett, Lindsey Ray",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,60c2ace8-c3db-341f-9cbf-6baa28dbbf1b,Perfect Life,/participant/levina,"Lindy Robbins, Dave Bassett, Lindsey Ray"
O.Torvald,Ukraine,36,22,24,NTU,"Zhenia Galych, Denys Miziuk",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,0dffae19-2365-326e-aea9-e3a40e09cb39,Time,/participant/o-torvald,Kamenchuk Yevhen
Blanche,Belgium,363,23,4,RTBF,"Pierre Dumoulin, Emmanuel Delcourt",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,c47cd667-81e2-3636-9419-46c6ac442af3,City Lights,/participant/blanche,"Pierre Dumoulin, Ellie Delvaux"
Robin Bengtsson,Sweden,344,24,5,SVT,"David Kreuger, Hamed ""K-One"" Pirouzpanah, Robin Stjernberg",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,d8d5d066-e496-3e32-a2f3-d050407dc3f5,I Can't Go On,/participant/robin-bengtsson,"David Kreuger, Hamed ""K-One"" Pirouzpanah, Robin Stjernberg"
Kristian Kostov,Bulgaria,615,25,2,BNT,"Borislav Milanov, Sebastian Arman, Joacim Persson,Alexander V. Blay, Alex Omar",42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,fa265e95-80d2-3e8d-b705-0af52c4aeccf,Beautiful Mess,/participant/kristian-kostov,"Borislav Milanov, Sebastian Arman, Joacim Persson,Alexander V. Blay, Alex Omar"
Alma,France,135,26,12,France 2,Nazim Khaled,42e0141d-3b05-3776-ba39-ea69c28e8bdb,grand final,46fb8036-f2f4-300d-bf14-319442574e45,Requiem,/participant/alma,"Nazim Khaled, Alexandra Maquet"
Laura Tesoro,Belgium,181,01,10,VRT,"Sanne Putseys, Louis Favre, Yannick Werther",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,b79aa27a-42af-3c8c-8e15-baee0e19ad22,What's The Pressure,/participant/laura-tesoro,"Sanne Putseys, Birsen Uçar"
Gabriela Gunčíková,Czech Republic,41,02,25,ČT,"Christian Schneider, Sara Biglert",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,bd7ab2e9-7eb6-32aa-8c26-0fc251a88d4d,I Stand,/participant/gabriela-guncikova,"Aidan O'Connor, Sara Biglert"
Douwe Bob,The Netherlands,153,03,11,AVROTROS,"Douwe Bob Posthuma, Jan-Peter Hoekstra, Jeroen Overman, Matthijs van Duijvenbode",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,bb7683cc-212c-3e10-b612-2c9f1b11989e,Slow Down,/participant/douwe-bob,"Douwe Bob Posthuma, Jan-Peter Hoekstra, Jeroen Overman"
Samra,Azerbaijan,117,04,17,İctimai,"Amir Aly, Jakke ""T.I Jakke"" Erixson, Henrik Wikström",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,1073eb48-2f4a-306f-9304-1b2df0636c9f,Miracle,/participant/samra,"Amir Aly, Jakke ""T.I Jakke"" Erixson, Henrik Wikström"
Freddie,Hungary,108,05,19,MTV,Szabó Zé,9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,a6339ad3-43d8-38ad-9792-df0356bb0c68,Pioneer,/participant/freddie,Borbála Csarnai
Francesca Michielin,Italy,124,06,16,RAI,"Fabio Gargiulo, Federica Abbate, Cheope",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,60255bba-5ff2-3f3f-b2ec-1df5b62c6e9d,No Degree Of Separation,/participant/francesca-michielin,"Francesca Michielin, Federica Abbate, Norma Jean Martine"
Hovi Star,Israel,135,07,14,IBA,Doron Medalie,9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,86d86464-2076-3b3c-97e6-5cd9e219f8dc,Made Of Stars,/participant/hovi-star,Doron Medalie
Poli Genova,Bulgaria,307,08,4,BNT,"Borislav Milanov, S. Arman, J. Persson",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,1ad4ffe0-a72e-33bb-a72d-c40027b0ea1f,If Love Was A Crime,/participant/poli-genova-1,"Borislav Milanov, S. Arman, J. Persson, Poli Genova"
Frans,Sweden,261,09,5,SVT,"Frans Jeppsson Wall, Fredrik Andersson, Michael Saxell, Oscar Fogelström",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,efd79ae5-66e6-36d8-9aba-612c092f8668,If I Were Sorry,/participant/frans,"Frans Jeppsson Wall, Fredrik Andersson, Michael Saxell, Oscar Fogelström"
Jamie-Lee,Germany,11,10,26,NDR,"Anna Leyne, Thomas Burchia, Conrad Hensel",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,e4c7731e-593a-3021-9953-4f880ae35238,Ghost,/participant/jamie-lee,Anna Leyne
Amir,France,257,11,6,France 2,"Nazim Khaled, Amir Haddad, Johan Errami",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,b399023e-541d-3245-b992-8a909a68ae4c,J'ai cherché,/participant/amir,"Nazim Khaled, Amir Haddad"
Michał Szpak,Poland,229,12,8,TVP,Andy Palmer,9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,78c10616-676c-3a01-999f-222924d88140,Color Of Your Life,/participant/michal-szpak,Kamil Varen
Dami Im,Australia,511,13,2,SBS,DNA (David Musumeci & Anthony Egizii),9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,c14129bf-f2c3-3256-8886-2f556d17571d,Sound Of Silence,/participant/dami-im,DNA (David Musumeci & Anthony Egizii)
Minus One,Cyprus,96,14,21,CyBC,"Thomas G:son, Minus One",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,94ba389b-84b9-3fcc-981a-f713bbe93bb3,Alter Ego,/participant/minus-one,"Thomas G:son, MinusOne"
Sanja Vučić ZAA,Serbia,115,15,18,RTS,Ivana Peters,9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,0af44bbb-40b9-3e83-8751-47ea9f6843f8,Goodbye (Shelter),/participant/sanja-vucic-zaa,Ivana Peters
Donny Montell,Lithuania,200,16,9,LRT,"Jonas Thander, Beatrice Robertsson",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,ada76848-92e7-3581-a618-5245fabb16d7,I've Been Waiting for This Night,/participant/donny-montell-1,"Jonas Thander, Beatrice Robertsson"
Nina Kraljić,Croatia,73,17,23,HRT,Andreas Grass & Nikola Paryla,9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,419820c1-c744-3dbe-831c-1f9582b829d6,Lighthouse,/participant/nina-kraljic,Andreas Grass & Nikola Paryla
Sergey Lazarev,Russia,491,18,3,RTR,"Dimitris Kontopoulos, Philip Kirkorov",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,3401ae6a-af6b-3fb3-a1ca-e00d847d99f6,You Are The Only One,/participant/sergey-lazarev,"John Ballard, Ralph Charlie"
Barei,Spain,77,19,22,TVE,"Barei, Ruben Villanueva & Victor Pua",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,6f76934a-1db9-3fdb-b61e-1bc37bed6315,Say Yay!,/participant/barei,"Barei, Ruben Villanueva & Victor Pua"
Justs,Latvia,132,20,15,LTV,Aminata Savadogo,9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,6a4daa36-628b-35b7-8ab9-d1a52cdba42f,Heartbeat,/participant/justs,Aminata Savadogo
Jamala,Ukraine,534,21,1,NTU,Jamala,9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,dddce4e2-cc04-38c4-b2c2-920cfdc613c7,1944,/participant/jamala,Jamala
Ira Losco,Malta,153,22,12,PBS,"Lisa Desmond, Tim Larsson, Tobias Lundgren, Molly Pettersson-Hammar & Ira Losco",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,755b3187-5351-3c9d-a653-6c9ff958166d,Walk On Water,/participant/ira-losco-1,"Lisa Desmond, Tim Larsson, Tobias Lundgren, Molly Pettersson-Hammar, Ira Losco"
Nika Kocharov and Young Georgian Lolitaz,Georgia,104,23,20,GPB,"Kote Kalandadze, Thomas G:Son",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,86c86e9c-0e3a-3f68-8cd0-0431242f630a,Midnight Gold,/participant/nika-kocharov-and-young-georgian-lolitaz,Kote Kalandadze
ZOË,Austria,151,24,13,ORF,Christof Straub & Zoe Straub,9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,233083bc-1c1f-30bb-840e-2fd1705ec762,Loin d'ici,/participant/zoe,Christof Straub & Zoe Straub
Joe and Jake,United Kingdom,62,25,24,BBC,"Matt Schwartz, Justin J Benson, S. Kanes",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,981e00c6-649b-3091-b34e-008d892013d0,You're Not Alone,/participant/joe-and-jake,"Matt Schwartz, Justin J Benson, S. Kanes"
Iveta Mukuchyan,Armenia,249,26,7,AMPTV,"Lilith Navasardyan, Levon Navasardyan",9b967659-2937-3ddc-97a8-7d4296ecdc2b,grand final,de6efe61-4aa2-39dc-a668-13760f1d30d8,LoveWave,/participant/iveta-mukuchyan,"Iveta Mukuchyan, Stephanie Crutchfield"
Maraaya,Slovenia,39,01,14,RTVSLO,"Raay, Marjetka Vovk",dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,b2926e7f-5e59-3096-980e-8bfe442151e0,Here For You,/participant/maraaya,"Charlie Mason, Raay"
Lisa Angell,France,4,02,25,France 2,Michel Illouz / M. Albert,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,cf05017b-0884-35fc-95bb-7a40cb53db74,N'oubliez Pas,/participant/lisa-angell,Laure Izon / M. Albert
Nadav Guedj,Israel,97,03,9,IBA,Doron Medalie,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,7c8edb4c-f6a7-3404-8bf4-4ecfc4b1f83d,Golden Boy,/participant/nadav-guedj,Doron Medalie
Elina Born & Stig Rästa,Estonia,106,04,7,ERR,Stig Rästa,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,e5a263b0-fe0e-3f19-8814-aeebba2bb484,Goodbye To Yesterday,/participant/elina-born-stig-raesta,Stig Rästa
Electro Velvet,United Kingdom,5,05,24,BBC,David Mindel & Adrian Bax White,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,6426a602-7150-3ff4-936d-95d16d8e795c,Still In Love With You,/participant/electro-velvet,David Mindel & Adrian Bax White
Genealogy,Armenia,34,06,16,AMPTV,Armen Martirosyan,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,899585c8-353f-37af-a5a1-69eaa885f050,Face The Shadow,/participant/genealogy,Inna Mkrtchyan
Monika Linkytė and Vaidas Baumila,Lithuania,30,07,18,LRT,Vytautas Bikus,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,da5e45f1-35d8-3cb8-9da8-ec66381fba08,This Time,/participant/monika-linkyte-and-vaidas-baumila,Monika Liubinaitė
Bojana Stamenov,Serbia,53,08,10,RTS,Vladimir Graić,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,f9f0038e-aea4-31ee-aab9-333adafc608a,Beauty Never Lies,/participant/bojana-stamenov,Charlie Mason
Mørland & Debrah Scarlett,Norway,102,09,8,NRK,Kjetil Mørland,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,c4d33e36-cc04-3f62-85f0-c645d6204712,A Monster Like Me,/participant/moerland-debrah-scarlett,Kjetil Mørland
Måns Zelmerlöw,Sweden,365,10,1,SVT,"Linnea Deb, Joy Deb, Anton Hård af Segerstad",dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,7b834f6b-1565-320a-b829-bf2aa21330d4,Heroes,/participant/mans-zelmerlow,"Linnea Deb, Joy Deb, Anton Hård af Segerstad"
John Karayiannis,Cyprus,11,11,22,CyBC,Mike Connaris,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,d98faa89-8e3c-37c1-9756-0f2fddea6061,One Thing I Should Have Done,/participant/john-karayiannis,Mike Connaris
Guy Sebastian,Australia,196,12,5,SBS,"Guy Sebastian, David Ryan Harris, Louis Schoorl",dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,fcdb58b6-e70b-3e4c-a0be-2f828bdd6369,Tonight Again,/participant/guy-sebastian,"Guy Sebastian, David Ryan Harris, Louis Schoorl"
Loïc Nottet,Belgium,217,13,4,RTBF,Loïc Nottet,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,84b7bed9-bb1f-3cbf-a0b0-8eb50f141561,Rhythm Inside,/participant/loic-nottet,Beverly Jo Scott
The Makemakes,Austria,-,14,26,ORF,Jimmy Harry and The Makemakes,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,19112d72-6553-391d-b704-d31ca1df73c9,I Am Yours,/participant/the-makemakes,Jimmy Harry and The Makemakes
Maria Elena Kyriakou,Greece,23,15,19,ERT,"Efthivoulos Theocharous, Maria-Elena Kyriakou",dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,068c2d97-c110-3ecf-b0d0-51094811428b,One Last Breath,/participant/maria-elena-kyriakou,"Vangelis Konstantinidis, Evelina Tziora"
Knez,Montenegro,44,16,13,RTCG,Željko Joksimović,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,229516a8-5de3-3b30-9d97-aa2967010caf,Adio,/participant/knez,Marina Tucaković & Dejan Ivanović
Ann Sophie,Germany,-,17,27,NDR,"Michael Harwood, Ella McMahon, Tonino Speciale",dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,2385ad26-b7f6-35e0-bb38-d7850aae9e19,Black Smoke,/participant/ann-sophie,"Michael Harwood, Ella McMahon, Tonino Speciale"
Monika Kuszyńska,Poland,10,18,23,TVP,Kuba Raczyński,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,3370c14b-b4f7-3cda-8863-b33b32c5db7c,In The Name Of Love,/participant/monika-kuszynska,Monika Kuszyńska
Aminata,Latvia,186,19,6,LTV,Aminata Savadogo,dcd86fee-f06a-315a-abcf-372a8fba2e7f,grand final,a6defb46-a949-3057-b9f7-50bd1c26fd66,Love Injected,/participant/aminata,Aminata Savadogo
